price,mileage,year,make,model,trim,distance from zip
"$99,950","48,622 mi.",2007,Rolls-Royce,Phantom,['Sedan'],(13 mi. from 33186)
Inquire,"114,702 mi.",2007,Mercedes-Benz,E-Class,"['E350', '4MATIC', '-']",(13 mi. from 33186)
$999,"161,404 mi.",2006,Hyundai,Azera,['SE'],(1 mi. from 33186)
"$12,986","57,065 mi.",2006,Audi,A4,"['3.2', 'quattro']",(26 mi. from 33186)
"$8,750","115,972 mi.",2005,BMW,X5,['3.0i'],(1 mi. from 33186)
"$8,995","43,820 mi.",2005,Cadillac,CTS,"['ONLY', '43K', 'MILES']",(13 mi. from 33186)
"$24,900","58,160 mi.",2005,Lexus,LS,"['58K', 'MILES', '-']",(13 mi. from 33186)
"$249,000","5,212 mi.",2005,Lamborghini,Murcielago,"['5K', 'MILES', '-']",(13 mi. from 33186)
"$25,500","68,589 mi.",2004,Toyota,Tacoma,[],(1 mi. from 33186)
Inquire,"135,596 mi.",2004,Mercedes-Benz,G-Class,"['G', '500']",(13 mi. from 33186)
"$1,000","200,000 mi.",2003,Dodge,Ram,"['2500', 'ST']",(13 mi. from 33186)
Inquire,"38,353 mi.",2003,Mercedes-Benz,SL-Class,"['SL500!', 'GORGEOUS', 'RED!']",(13 mi. from 33186)
"$12,995","141,150 mi.",2002,Lexus,SC,"['SC430', 'Convertible', 'Hardtop']",(13 mi. from 33186)
"$13,900","99,577 mi.",2002,Chevrolet,Suburban,[],(13 mi. from 33186)
"$15,500","33,020 mi.",2001,Ford,Mustang,"['GT', 'Deluxe', 'Convertible']",(1 mi. from 33186)
"$17,900","26,845 mi.",2001,Audi,TT,"['26K', 'MILES', '-']",(13 mi. from 33186)
"$17,900","24,734 mi.",2001,Cadillac,Eldorado,"['ESC', '-', '20K']",(13 mi. from 33186)
"$23,700","40,023 mi.",2001,Porsche,Boxster,"['S', '-', '4OK']",(13 mi. from 33186)
"$13,850","35,000 mi.",2000,Jaguar,XK8,[],(26 mi. from 33186)
Inquire,"88,006 mi.",2000,Honda,S2000,"['WIDE', 'BODY!', 'WORK']",(13 mi. from 33186)
"$282,910",57 mi.,2024,Bentley,Continental,"['GT', 'V8']",(26 mi. from 33186)
"$443,900",54 mi.,2024,Rolls-Royce,Cullinan,[],(26 mi. from 33186)
"$30,500","5,400 mi.",2023,Volvo,XC60,"['B5', 'AWD', 'Core']",(13 mi. from 33186)
"$245,605",28 mi.,2023,Bentley,Bentayga,['Azure'],(26 mi. from 33186)
"$245,605",45 mi.,2023,Bentley,Bentayga,['Azure'],(26 mi. from 33186)
"$18,876","27,101 mi.",2022,Kia,Sportage,['LX'],(1 mi. from 33186)
"$56,500","45,400 mi.",2022,Ford,F-250,"['Lariat', 'FX4', 'Supercrew']",(13 mi. from 33186)
"$109,800","11,962 mi.",2022,Land,Rover,"['Range', 'Rover', 'Sport']",(1 mi. from 33186)
Inquire,"5,901 mi.",2022,Ford,Expedition,"['XLT', 'MAX']",(1 mi. from 33186)
"$20,800","8,426 mi.",2021,Nissan,Rogue,"['FWD', 'SL', 'Premium']",(1 mi. from 33186)
"$24,900","48,382 mi.",2021,Tesla,Model,['Y'],(1 mi. from 33186)
"$27,800","12,764 mi.",2021,Mercedes-Benz,C-Class,"['C', '300', 'Sedan']",(1 mi. from 33186)
"$28,996","26,278 mi.",2021,Mercedes-Benz,GLA,"['GLA', '250']",(1 mi. from 33186)
"$28,999","29,573 mi.",2021,Alfa,Romeo,"['Stelvio', 'Ti', 'Sport']",(13 mi. from 33186)
"$43,800","20,300 mi.",2021,Jeep,Wrangler,"['Unlimited', 'Sahara', 'High']",(1 mi. from 33186)
"$12,499","74,754 mi.",2020,Nissan,Kicks,"['S', '4dr', 'Crossover']",(26 mi. from 33186)
"$16,884","43,833 mi.",2020,Nissan,Rogue,['S'],(1 mi. from 33186)
"$17,894","29,961 mi.",2020,Nissan,Rogue,['SV'],(1 mi. from 33186)
"$18,800","63,000 mi.",2020,Ford,Edge,['SEL'],(1 mi. from 33186)
"$21,800","21,900 mi.",2020,Cadillac,XT5,"['*', 'FREE', 'DELIVERY!']",(1 mi. from 33186)
"$23,388","116,391 mi.",2020,Chevrolet,Tahoe,['LT'],(1 mi. from 33186)
"$23,897","22,416 mi.",2020,Mazda,CX-9,['Touring'],(1 mi. from 33186)
"$24,900","40,775 mi.",2020,Cadillac,CT5,[],(1 mi. from 33186)
"$28,800","16,342 mi.",2020,Mercedes-Benz,C-Class,"['C', '300', 'Sedan']",(1 mi. from 33186)
"$10,899","61,881 mi.",2019,Mazda,CX-3,['Touring'],(1 mi. from 33186)
"$16,900","56,378 mi.",2019,Honda,Passport,[],(1 mi. from 33186)
